id,log_price
0,1.68677
1,8.01927
2,4.94568
3,7.51119
4,9.80191
5,5.84646
6,5.51008
7,1.64846
8,3.41595
9,5.49894
10,7.11307
11,8.23365
12,4.42847
13,1.59343
14,3.59331
15,9.18634
16,2.92047
17,5.06912
18,9.38085
19,1.22409
20,6.40494
21,9.55117
22,3.07273
23,5.93641
24,9.18216
25,2.19853
26,5.71071
27,7.75369
28,7.02112
29,5.20978
30,2.84364
31,5.41689
32,4.35146
33,5.29661
34,4.29301
35,8.54126
36,7.91783
37,3.82595
38,6.15363
39,3.48444
40,5.07559
41,4.17681
42,6.9166
43,4.33316
44,5.13184
45,7.47392
46,4.71693
47,9.15781
48,2.62406
49,7.67007
50,4.80137
51,4.83808
52,6.70942
53,5.70616
54,4.73397
55,1.01284
56,1.83036
57,7.38455
58,5.71911
59,7.26544
60,9.59921
61,7.14622
62,1.47816
63,3.77967
64,6.33335
65,3.11608
66,9.68474
67,9.50543
68,8.63561
69,5.25092
70,8.57329
71,2.18
72,3.7786
73,5.16697
74,7.67662
75,5.37243
76,2.23189
77,4.09183
78,3.91984
79,3.70377
80,2.48951
81,4.73412
82,5.03309
83,7.9741
84,8.16752
85,5.70151
86,5.14567
87,8.00392
88,8.9856
89,7.07427
90,8.20431
91,9.452
92,1.3659
93,8.88105
94,3.48907
95,5.28188
96,8.17085
97,7.45518
98,2.32433
99,6.92873
100,1.62327
101,4.21364
102,8.31547
103,4.84934
104,6.39869
105,7.55345
106,8.39105
107,7.84464
108,1.06429
109,4.78231
110,5.16823
111,1.4995
112,5.87298
113,6.46994
114,8.45608
115,9.47628
116,2.15333
117,3.07388
118,6.93243
119,2.19227
120,3.01671
121,6.17376
122,2.52571
123,8.04007
124,8.71278
125,1.30307
126,5.7938
127,8.17256
128,9.77626
129,3.46833
130,2.52191
131,8.89031
132,9.18264
133,2.7778
134,4.97377
135,7.47309
136,8.60811
137,2.51448
138,6.98472
139,8.27052
140,5.94743
141,2.48245
142,1.31976
143,3.5338
144,8.27084
145,1.4029
146,1.07395
147,4.25455
148,1.5726
149,2.34538
150,1.20871
151,5.72248
152,7.27026
153,4.84348
154,2.21113
155,3.98221
156,6.31311
157,9.46595
158,9.93302
159,3.17443
160,1.09522
161,8.47576
162,9.33952
163,5.12743
164,7.94298
165,8.79579
166,6.48653
167,8.85364
168,1.21513
169,3.44436
170,3.49498
171,2.08569
172,9.19642
173,1.27395
174,7.05305
175,1.64206
176,4.24702
177,4.7629
178,2.63264
179,5.68913
180,5.81493
181,3.85339
182,7.63379
183,2.44182
184,2.73257
185,4.1906
186,4.40539
187,2.85657
188,9.26838
189,8.45284
190,1.96189
191,4.32537
192,3.09404
193,5.05971
194,3.48685
195,5.51626
196,9.30343
197,4.4426
198,6.85115
199,6.36059
200,7.76758
201,1.55499
202,7.70341
203,9.51648
204,6.43204
205,3.58822
206,7.05132
207,7.40844
208,6.90805
209,2.32237
210,9.76128
211,9.59845
212,4.82163
213,6.34274
214,1.35666
215,9.89771
216,8.3687
217,6.72852
218,7.84976
219,2.69227
220,3.76889
221,3.21754
222,6.36444
223,1.82714
224,9.06049
225,5.16048
226,5.00331
227,1.9424
228,7.16414
229,8.35205
230,6.66595
231,3.1782
232,8.06879
233,2.31111
234,8.44549
235,6.22635
236,3.60436
237,5.61919
238,6.65966
239,3.32731
240,8.62216
241,4.79128
242,9.03104
243,8.51922
244,1.89413
245,6.81629
246,3.79445
247,7.78648
248,5.88368
249,5.11839
250,9.0583
251,1.51528
252,6.01586
253,3.9512
254,1.31746
255,7.78167
256,6.05567
257,9.04731
258,6.38435
259,4.03331
260,9.86698
261,2.04143
262,1.47342
263,7.5936
264,4.33787
265,4.25319
266,8.88879
267,3.94564
268,9.0009
269,6.79589
270,3.96145
271,1.53579
272,3.20598
273,9.71572
274,4.64741
275,2.4403
276,3.68212
277,9.09618
278,2.48479
279,8.00074
280,2.21378
281,9.65254
282,5.77185
283,1.38853
284,9.37859
285,4.22403
286,7.58279
287,5.71337
288,1.83324
289,1.95453
290,2.34302
291,2.4508
292,1.4748
293,1.42312
294,9.53585
295,1.82163
296,5.57517
297,2.06767
298,2.93309
299,7.86765
300,9.44321
301,5.22741
302,1.05078
303,9.99287
304,1.42996
305,4.50503
306,5.85151
307,9.0256
308,8.40801
309,6.48448
310,4.58742
311,8.51031
312,8.82153
313,8.84714
314,7.45873
315,1.88009
316,3.68721
317,5.3733
318,5.54548
319,8.49586
320,3.14053
321,6.98132
322,4.3678
323,7.97934
324,2.76197
325,5.28965
326,1.93203
327,2.90791
328,9.41657
329,3.84442
330,9.03679
331,5.71873
332,1.3513
333,8.13684
334,1.46761
335,8.44249
336,1.07919
337,7.067
338,2.49143
339,4.08588
340,9.57476
341,5.3761
342,6.91684
343,7.66662
344,1.98935
345,8.54916
346,9.22528
347,2.39879
348,5.91615
349,3.55155
350,7.66582
351,1.25443
352,5.61292
353,8.13533
354,7.61263
355,1.97365
356,8.49646
357,3.14057
358,8.27009
359,5.47416
360,2.44743
361,7.60637
362,8.27122
363,7.29011
364,9.68362
365,3.3053
366,3.12186
367,2.32507
368,5.85466
369,4.59504
370,4.20996
371,5.14274
372,3.47088
373,1.03834
374,5.24576
375,3.48296
376,5.04805
377,9.35988
378,2.61105
379,6.73735
380,6.79973
381,3.53164
382,5.23799
383,9.7265
384,4.08214
385,7.41111
386,8.56197
387,4.24622
388,9.90923
389,6.63282
390,5.50887
391,7.43417
392,4.81447
393,7.41094
394,3.47322
395,9.34487
396,5.87767
397,3.17485
398,4.93477
399,9.05587
400,8.2635
401,5.36022
402,4.16532
403,4.38623
404,9.83076
405,2.00992
406,9.00122
407,8.71848
408,3.0195
409,4.14423
410,6.12604
411,8.22153
412,9.55401
413,9.92628
414,3.53109
415,2.73127
416,5.38953
417,6.01808
418,6.91034
419,1.96832
420,6.8172
421,9.29241
422,9.23681
423,9.49397
424,9.30106
425,9.647
426,1.43823
427,9.24416
428,3.44092
429,3.88599
430,5.12753
431,9.59752
432,6.4458
433,4.17424
434,4.36742
435,9.14436
436,8.40113
437,2.23784
438,3.23814
439,4.34751
440,2.95068
441,6.07134
442,3.01275
443,6.17432
444,9.42422
445,8.63808
446,1.89337
447,2.86214
448,4.71474
449,6.81515
450,4.4791
451,3.26451
452,4.10193
453,2.83612
454,8.7568
455,7.27527
456,4.69926
457,7.30388
458,5.67756
459,5.73636
460,4.3062
461,5.39397
462,9.86965
463,8.06018
464,8.4493
465,2.11935
466,5.53847
467,4.30211
468,1.80016
469,4.55749
470,1.66769
471,3.10618
472,8.18886
473,7.17596
474,7.28692
475,1.71422
476,2.47584
477,1.19426
478,1.87763
479,1.91097
480,9.6413
481,9.04556
482,2.83829
483,3.28432
484,9.6479
485,6.12998
486,4.31671
487,5.1989
488,3.44989
489,6.2522
490,7.52745
491,5.63903
492,8.386
493,2.01889
494,6.43288
495,9.90642
496,2.34171
497,5.45532
498,6.67131
499,4.03776
500,9.68156
501,5.36869
502,5.30829
503,9.12397
504,1.14319
505,8.81997
506,2.16166
507,4.41252
508,5.39611
509,5.28903
510,1.35468
511,3.85396
512,4.21115
513,9.60561
514,9.25287
515,6.25914
516,9.40031
517,8.77341
518,4.3815
519,2.0527
520,6.46424
521,3.90708
522,1.08768
523,9.83061
524,9.72348
525,5.83126
526,6.56367
527,7.0198
528,9.33885
529,5.20758
530,6.2459
531,3.03886
532,3.18158
533,5.69901
534,3.06284
535,1.27228
536,4.31567
537,7.74951
538,3.49363
539,8.76434
540,7.32252
541,6.87987
542,9.03235
543,1.6643
544,2.60889
545,9.18343
546,9.16334
547,1.70441
548,7.96808
549,1.13889
550,2.21712
551,1.98785
552,3.64596
553,4.49442
554,9.19786
555,4.92758
556,2.11464
557,3.45114
558,1.05739
559,1.25244
560,4.87961
561,5.60969
562,3.24965
563,4.41903
564,1.93032
565,6.92939
566,4.53345
567,2.45373
568,5.47654
569,2.87537
570,3.62916
571,2.11753
572,8.02657
573,3.51384
574,9.60109
575,4.64889
576,2.39675
577,7.34692
578,7.60202
579,8.93188
580,2.18361
581,8.10897
582,8.73783
583,3.74066
584,5.09034
585,6.57678
586,3.20962
587,8.8422
588,7.29275
589,8.71015
590,5.04924
591,5.67099
592,2.74829
593,3.82622
594,7.56561
595,9.63107
596,2.36893
597,1.45579
598,1.60707
599,4.91925
600,8.13404
601,3.0239
602,5.29419
603,5.63862
604,8.53932
605,2.4763
606,1.13247
607,5.5599
608,4.19721
609,3.62949
610,7.95013
611,7.1512
612,1.75543
613,5.93293
614,8.1806
615,9.18716
616,1.00166
617,8.26795
618,1.38923
619,7.13909
620,6.38206
621,9.56815
622,6.68691
623,1.62945
624,7.03358
625,3.29428
626,8.4875
627,1.28316
628,3.91722
629,7.08792
630,2.40071
631,6.81645
632,7.27502
633,7.604
634,8.87802
635,4.7185
636,2.28235
637,3.3428
638,4.50717
639,1.4912
640,7.37694
641,1.5671
642,1.51938
643,9.3925
644,8.25621
645,3.28313
646,4.07537
647,8.43328
648,6.57312
649,3.38426
650,5.04117
651,8.70004
652,1.00622
653,9.93154
654,6.0934
655,2.63818
656,8.20174
657,1.68576
658,4.69
659,6.15819
660,3.22475
661,8.9671
662,7.27205
663,2.45645
664,2.3734
665,1.5574
666,6.14349
667,2.6854
668,5.88684
669,8.37525
670,8.91267
671,2.04715
672,3.99014
673,4.75638
674,4.45076
675,4.76946
676,5.13989
677,7.80895
678,3.74964
679,4.09082
680,4.5122
681,2.36097
682,6.67336
683,4.60221
684,9.24537
685,8.39274
686,3.07162
687,3.18083
688,8.04044
689,6.03898
690,1.0919
691,6.66895
692,4.55422
693,8.06692
694,7.72162
695,9.30095
696,7.29357
697,9.21681
698,3.56189
699,4.04844
700,1.53281
701,8.80242
702,2.38796
703,5.96188
704,5.58276
705,8.32542
706,4.49191
707,2.28398
708,4.44773
709,1.43245
710,3.71323
711,6.67002
712,1.51429
713,9.90727
714,5.8257
715,3.70065
716,8.50409
717,2.23719
718,3.89768
719,9.43435
720,3.1594
721,7.59603
722,1.72837
723,5.79227
724,6.923
725,2.88751
726,3.94867
727,5.95458
728,6.30986
729,2.38796
730,4.69697
731,9.9976
732,3.90191
733,8.0682
734,2.81453
735,5.15075
736,5.66353
737,6.36416
738,7.45888
739,8.16319
740,7.30149
741,8.2648
742,8.97366
743,3.93507
744,8.44578
745,5.6798
746,3.33485
747,2.55766
748,7.88004
749,6.7297
750,1.63658
751,6.28708
752,1.40092
753,4.5213
754,6.14045
755,6.85175
756,2.42067
757,1.40353
758,6.18421
759,8.36906
760,8.1695
